order_id,customer_name,city,region,category,product,sales,discount_percent,profit,quantity,payment_mode,order_date
36,Robert Myers,Madurai,North,Clothing,Jeans,32008.7,28.7,7810.24,2,Card,2024-10-21
37,Cindy Reynolds,Salem,West,Electronics,Smart Watch,9944.12,9.85,2009.37,6,UPI,2024-01-17
38,James Higgins,Tirunelveli,East,Electronics,Headphones,44538.86,2.55,7170.32,2,Card,2025-02-04
39,Jamie Ortega,Coimbatore,North,Groceries,Snacks,46818.89,29.18,8422.32,10,Net Banking,2024-05-19
40,Cynthia Webster,Tirunelveli,North,Clothing,Kurti,34706.91,27.69,7490.46,10,Cash,2024-06-16
41,Jonathan Lane,Madurai,South,Electronics,Headphones,9794.33,7.81,1936.43,7,Cash,2024-01-06
42,Amanda Gross,Trichy,South,Sports,Shoes,8719.95,0.13,1496.5,10,UPI,2024-02-09
43,Tammy Chan,Chennai,South,Clothing,T-Shirt,39446.39,24.54,4027.5,5,Card,2025-12-31
44,Donna Dean,Madurai,South,Sports,Shoes,3261.75,13.67,258.79,7,Card,2025-10-19
45,Joel Lewis,Coimbatore,West,Clothing,T-Shirt,10243.25,7.94,1660.98,4,Card,2025-05-10
46,Chad Young,Madurai,West,Electronics,Laptop,19231.36,21.92,3939.1,10,Cash,2025-07-15
47,Nicole Moody,Trichy,South,Clothing,Jeans,27658.81,13.51,6484.6,3,Card,2025-09-24
48,Sarah Carrillo,Chennai,North,Electronics,Smart Watch,34506.53,3.2,7656.7,6,Net Banking,2025-03-02
49,Frederick Hill,Trichy,South,Groceries,Milk,46469.55,29.74,5918.31,4,Card,2025-09-25
50,Sabrina Yang,Coimbatore,East,Groceries,Rice,40534.64,26.52,7791.72,9,Card,2025-04-13
51,Isaac Pacheco,Tirunelveli,South,Sports,Gym Bag,9843.99,22.01,1128.28,2,Cash,2024-06-30
52,Jamie Harris,Chennai,South,Furniture,Chair,44725.26,15.46,3042.35,10,Net Banking,2025-07-17
53,Michael Parsons,Trichy,West,Clothing,Jeans,18991.68,12.97,4629.63,10,Card,2025-05-30
54,Tyler Clark,Madurai,South,Sports,Cricket Bat,45844.38,25.37,8942.38,9,Net Banking,2024-04-04
55,Perry Patrick,Coimbatore,North,Clothing,Kurti,28058.35,15.85,6195.67,6,Card,2025-09-11
56,Patrick Horton,Chennai,South,Electronics,Mobile,22501.5,5.01,5345.59,8,UPI,2024-09-15
57,Jesse Gilbert,Salem,East,Groceries,Rice,24598.22,21.38,3585.71,9,Cash,2024-06-09
58,Rebecca Gilbert,Tirunelveli,North,Groceries,Milk,45375.25,24.65,4129.86,5,Net Banking,2025-07-10
59,Joseph Kelly,Trichy,North,Electronics,Smart Watch,11071.25,17.99,2648.34,2,Cash,2024-02-11
60,Joseph Martinez,Tirunelveli,North,Sports,Football,43531.84,29.42,4152.98,7,UPI,2025-04-28
61,Laura Young,Trichy,South,Furniture,Table,37824.22,18.74,4023.46,6,Net Banking,2025-04-10
62,Mark Parks,Coimbatore,East,Groceries,Milk,24848.82,13.64,2736.11,7,Cash,2024-12-15
63,Cristina Reyes,Salem,North,Clothing,Jacket,2246.37,27.34,263.38,8,Card,2025-10-07
64,Samantha Woods,Coimbatore,North,Electronics,Headphones,49650.88,2.07,10617.12,10,Net Banking,2024-07-31
65,Dylan Horn,Trichy,West,Electronics,Headphones,16784.83,11.48,991.94,5,Net Banking,2025-07-09
66,Jacqueline Henry,Tirunelveli,North,Sports,Gym Bag,47049.35,4.05,4755.14,1,Net Banking,2024-10-09
67,Alicia Marquez,Madurai,South,Furniture,Sofa,12525.04,1.8,1513.53,9,Net Banking,2025-05-07
68,Elizabeth Smith,Tirunelveli,North,Groceries,Snacks,34220.55,11.93,5256.93,7,Cash,2024-02-22
69,Gregory Hughes,Chennai,North,Sports,Gym Bag,831.96,17.7,130.96,9,Cash,2024-07-09
70,Brian Maldonado,Salem,South,Electronics,Mobile,4044.36,3.88,777.71,9,Cash,2025-04-06
71,Katherine Baldwin,Coimbatore,North,Clothing,Jeans,27492.43,20.54,4401.82,8,UPI,2024-09-30
72,Deborah Freeman,Tirunelveli,North,Electronics,Smart Watch,32985.62,21.09,7794.75,10,Net Banking,2025-02-17
73,Brittney Williams,Madurai,South,Sports,Cricket Bat,3533.36,5.07,629.5,7,Cash,2025-05-14
74,Jennifer Holmes,Madurai,West,Electronics,Laptop,30471.3,21.9,7190.11,3,Card,2024-08-12
75,Sean Johnson,Salem,North,Clothing,T-Shirt,4292.73,5.24,511.37,6,Card,2024-07-09
76,Adam Sanchez,Tirunelveli,East,Groceries,Milk,45019.84,2.07,6088.71,2,Cash,2025-11-02
77,Gerald Clark,Coimbatore,West,Clothing,Jacket,3398.13,2.2,204.45,1,Cash,2025-07-12
78,Joseph Franklin Jr.,Tirunelveli,North,Sports,Cricket Bat,24711.15,25.1,2079.67,5,Net Banking,2024-08-11
79,Faith Watts,Trichy,West,Groceries,Oil,46613.77,1.07,9186.32,1,Card,2024-06-13
80,Mary Williams,Coimbatore,East,Groceries,Milk,22562.06,5.23,1518.02,4,Cash,2025-05-12
81,Stacy Campbell,Tirunelveli,East,Groceries,Rice,47351.15,10.41,6216.15,9,UPI,2025-01-15
82,Bruce Ross,Madurai,North,Sports,Football,39577.49,16.49,7365,8,Card,2024-07-24
83,Lauren Mcclain,Salem,South,Clothing,Kurti,35428.68,25.84,7073.19,7,Card,2025-08-03
84,Catherine Chandler,Salem,North,Clothing,Jeans,23098.4,11.9,1881.33,7,Card,2025-05-30
85,Steven Bailey,Tirunelveli,South,Groceries,Oil,24934.24,26.42,1337.5,1,Net Banking,2025-10-14
86,Gabriel Harris,Chennai,East,Furniture,Table,42849.35,9.59,3129.39,5,Net Banking,2025-11-27
87,Sandra Anderson,Coimbatore,North,Furniture,Chair,13160.85,11.65,2171.94,4,Card,2025-03-11
88,Andrew Rodriguez,Trichy,West,Sports,Shoes,25230.58,8.2,4760.55,7,Card,2025-12-22
89,Luis Leblanc,Salem,East,Furniture,Cupboard,44804.06,10.77,9250.54,2,Card,2025-11-09
90,Daniel Lopez,Coimbatore,South,Electronics,Headphones,26894.41,28.44,2698.95,4,Cash,2025-10-04
91,Cindy Calderon,Salem,South,Electronics,Smart Watch,29860.41,21.05,4328.81,6,Net Banking,2025-02-14
92,Jose Johnson,Salem,East,Groceries,Snacks,44634.37,29.44,4361.9,3,UPI,2025-08-25
93,Derek Lewis,Chennai,West,Furniture,Sofa,5342.65,15.35,775.6,9,Card,2024-08-10
94,Alan Hopkins,Trichy,West,Furniture,Chair,15573.15,13.72,1793.92,6,UPI,2024-06-01
95,Casey Cannon,Trichy,North,Clothing,Jacket,4211.52,10.2,546.34,2,Card,2025-02-15
96,Susan Mitchell,Madurai,West,Groceries,Oil,40821.3,25.48,3026.65,4,Net Banking,2024-05-06
97,Nathan Mcdaniel,Chennai,West,Electronics,Headphones,4604.78,19.63,316.04,4,Net Banking,2025-12-23
98,Priscilla Robinson,Salem,West,Electronics,Laptop,25742.31,10.26,5890.76,3,UPI,2024-05-21
99,Christopher Thomas,Salem,East,Clothing,Kurti,1803.98,8.44,211.37,8,UPI,2024-08-04
100,Monica Hudson,Trichy,North,Sports,Cricket Bat,19969.58,8.77,3505.38,7,Net Banking,2024-08-17
101,David Sawyer,Coimbatore,North,Clothing,Jeans,15357.91,0.96,3726.32,3,UPI,2025-10-30
102,Ann Carter,Salem,North,Electronics,Laptop,1574.79,6.56,260.73,7,Cash,2024-11-28
103,Ryan Ramirez MD,Madurai,South,Clothing,T-Shirt,32153.64,7.12,5459.88,4,Net Banking,2024-03-14
104,Michael Jackson,Salem,North,Furniture,Table,46153.72,17.88,10214.37,8,UPI,2025-11-28
105,Susan Wright,Madurai,East,Groceries,Rice,21540.37,18.76,2408.31,9,Cash,2024-10-20
106,Kelly Jones,Salem,South,Clothing,Jeans,42854.84,21.07,9775.07,9,Card,2025-01-03
107,Laura Davis,Chennai,North,Electronics,Laptop,20395.67,6.98,4539.86,5,UPI,2025-07-30
108,Jesse Cordova,Coimbatore,West,Sports,Gym Bag,37810.07,7.32,6350.17,10,Cash,2024-12-17
109,Jennifer Ingram,Chennai,East,Furniture,Chair,22775.39,8.08,4523.35,1,UPI,2024-05-27
110,Michael Flores,Madurai,South,Furniture,Chair,40681.37,16.97,5189.28,9,Card,2025-08-18
111,Caitlin Nelson,Chennai,West,Furniture,Table,6113.56,26.9,1513.42,3,Net Banking,2024-09-04
112,Wendy Hall,Salem,North,Clothing,T-Shirt,42728.51,27.23,2670.85,8,Net Banking,2024-01-31
113,Elizabeth Dudley,Tirunelveli,North,Electronics,Headphones,42030.21,26.64,2149.93,3,Cash,2024-07-14
114,James Goodwin,Madurai,West,Clothing,T-Shirt,48801.5,28.13,4805.16,10,Cash,2024-08-22
115,Thomas Higgins,Trichy,West,Furniture,Chair,34686.92,18.63,3536.78,7,Cash,2024-03-03
116,Brad Moses,Salem,North,Sports,Shoes,44383.79,26.59,2717.81,7,Cash,2025-10-29
117,Catherine Young,Trichy,West,Sports,Football,22339.89,2.58,5227.67,1,Card,2025-03-03
118,Hannah Ward,Madurai,East,Clothing,T-Shirt,319.02,26.37,68.09,6,Cash,2024-08-08
119,James Holloway,Madurai,West,Electronics,Smart Watch,40066.25,27.76,8054.39,5,Net Banking,2025-05-08
120,Tara Wilkinson,Salem,West,Sports,Gym Bag,32134.82,28.32,8007.64,2,Cash,2025-12-22
121,John Parks,Chennai,East,Clothing,Kurti,45131.18,28.91,11186.79,5,Net Banking,2024-04-10
122,Paula Frazier,Tirunelveli,East,Furniture,Cupboard,41205.66,20.68,5672.95,1,Card,2025-01-12
123,Danielle Williams,Chennai,East,Furniture,Chair,36197.99,19.03,8215.5,5,Cash,2024-04-16
124,Maurice Dunn,Madurai,West,Clothing,T-Shirt,35524.72,5.96,4269.22,8,UPI,2025-12-15
125,James Byrd,Chennai,West,Clothing,Jeans,39044.67,18.24,8977.02,1,Net Banking,2024-08-19
126,Samuel Brown,Madurai,North,Sports,Gym Bag,8633.59,24.05,1681.81,7,Cash,2024-03-07
127,Alejandro Farley,Tirunelveli,North,Clothing,Jeans,10280.13,28.61,2206.93,9,Net Banking,2025-04-14
128,Megan Padilla,Madurai,East,Electronics,Smart Watch,26801.11,0.74,2417.31,7,Net Banking,2025-02-13
129,Kevin Gregory,Madurai,North,Electronics,Mobile,13047.35,2.82,2492.98,3,Net Banking,2025-12-14
130,Summer Fisher,Madurai,South,Electronics,Mobile,6383.39,9.36,434.06,7,Cash,2025-07-04
131,Susan Roberson,Tirunelveli,South,Groceries,Rice,36103.2,7.68,6267.16,4,Card,2025-10-03
132,Zachary Holmes,Salem,West,Electronics,Headphones,43814.06,18.86,4262,4,Cash,2025-01-07
133,Frank Murphy,Trichy,North,Furniture,Cupboard,30614.42,9.07,7039.18,8,Cash,2025-05-29
134,Dawn Wilson,Chennai,East,Furniture,Cupboard,47030.37,6.05,9998.36,7,Net Banking,2024-01-01
135,Katherine Chase,Madurai,South,Furniture,Chair,48775.34,14.06,5360.65,2,UPI,2025-07-20
136,Monica Garcia,Trichy,West,Clothing,Kurti,2461.59,27.82,487.33,8,UPI,2024-11-15
137,Deborah Pennington,Coimbatore,South,Groceries,Rice,6823.33,1.01,1059.46,3,Cash,2024-02-21
138,Raven Jones,Madurai,East,Groceries,Snacks,40542.53,11.19,7901.99,7,UPI,2024-07-12
139,Ryan Thompson,Trichy,East,Clothing,Kurti,26339.39,3.73,5523.25,4,Card,2025-01-10
140,Gregory Park,Tirunelveli,South,Sports,Shoes,14135.16,22.27,2765.65,3,UPI,2024-08-24
141,Sarah Fuller,Madurai,North,Electronics,Laptop,33405.03,8.1,5619.81,3,Card,2024-03-26
142,John Woods,Madurai,West,Sports,Football,8020.38,24.71,1961.41,6,Net Banking,2025-11-29
143,Lynn Nguyen,Tirunelveli,North,Clothing,T-Shirt,20647.94,20.14,4497.65,10,Cash,2024-12-13
144,Holly Kline DDS,Salem,South,Electronics,Laptop,20561.72,20.2,1707.82,5,Net Banking,2024-08-06
145,Katherine Nelson,Madurai,South,Sports,Gym Bag,30237.76,29.86,2483.53,7,Cash,2024-10-18
146,Jason Peck,Chennai,East,Electronics,Headphones,10206.3,10.83,1186.34,8,Cash,2025-07-31
147,Dylan Collins,Chennai,West,Electronics,Mobile,47171.15,23.16,9744.49,1,UPI,2025-12-15
148,Jeffrey Wilson,Salem,East,Furniture,Chair,32603.68,8.43,3019.39,2,UPI,2024-08-25
149,Tim Salas,Madurai,East,Sports,Shoes,31511.25,17.77,5937.98,7,Cash,2024-07-19
150,Jeffrey Hudson,Trichy,South,Electronics,Mobile,40412.46,2.61,8465.16,3,UPI,2025-09-04
151,Christopher Rodriguez,Madurai,South,Groceries,Milk,32086.04,6.23,7157.76,7,Cash,2024-03-05
152,Paul Clarke,Tirunelveli,South,Furniture,Sofa,42616.81,1.65,8647.12,6,Cash,2024-06-29
153,Tyrone Fritz,Tirunelveli,East,Electronics,Mobile,16703.75,2.69,1941.39,3,UPI,2025-01-29
154,Ms. Julie Henry,Tirunelveli,East,Furniture,Sofa,31702.56,6.15,5040.27,9,Cash,2024-01-04
155,Amanda Edwards,Madurai,North,Furniture,Chair,511.22,7.54,68.46,8,Cash,2025-10-05
156,Gary Carter,Salem,East,Clothing,Jeans,45810.13,15.7,8370.27,7,Net Banking,2025-07-21
157,William Perkins,Coimbatore,North,Furniture,Sofa,35957.86,24.25,8592.44,3,UPI,2025-05-28
158,Dawn English,Coimbatore,North,Sports,Football,28984,6.99,2679.42,7,Net Banking,2025-12-01
159,Jason Davis,Coimbatore,West,Groceries,Snacks,512.85,9.44,82.44,10,Card,2025-07-31
160,Stephanie Johnson,Trichy,West,Sports,Cricket Bat,24533.5,11.62,2240.64,6,Cash,2024-11-13
161,Wendy Mitchell,Madurai,South,Electronics,Headphones,3293.15,23.63,267.48,4,Cash,2025-06-12
162,Shawn Jones,Chennai,West,Furniture,Sofa,22726.51,13,5064.37,9,Cash,2024-06-07
163,John Thomas,Coimbatore,North,Groceries,Rice,46313.64,3.92,11138.02,9,UPI,2025-07-14
164,Cynthia Nguyen MD,Trichy,South,Electronics,Mobile,24926.94,10.72,1850.56,4,Cash,2024-02-17
165,Elizabeth Carter,Madurai,West,Sports,Football,1140.21,15.7,186.88,6,UPI,2024-08-16
166,Michelle Carter,Trichy,West,Sports,Cricket Bat,47934.28,0.23,4139.48,4,UPI,2024-04-28
167,Lisa Fitzgerald,Trichy,East,Clothing,Jeans,24276.57,17.06,4936.11,2,UPI,2025-11-01
168,Lydia Curry,Chennai,East,Electronics,Smart Watch,31915.74,28.88,3403.46,9,UPI,2025-07-28
169,Alyssa West,Chennai,South,Electronics,Smart Watch,10494.29,12.92,1178.89,5,Cash,2024-05-07
170,Michelle Williams,Salem,East,Electronics,Laptop,8105.85,0.1,1495.95,10,Cash,2024-10-29
171,Joseph Salazar,Chennai,South,Groceries,Oil,32330.87,28.45,7350.37,8,Net Banking,2025-04-16
172,Barbara Shepard,Salem,East,Groceries,Oil,3488.85,6.92,319.78,2,UPI,2024-02-07
173,Hannah Alvarez,Chennai,North,Furniture,Table,44912.55,1.79,4080.11,2,UPI,2025-03-18
174,William Wilson,Madurai,South,Sports,Shoes,2146.46,25.29,403.73,9,Card,2025-05-20
175,Chad Martinez,Madurai,West,Clothing,Kurti,10078.26,14.95,1141.84,4,UPI,2024-02-02
176,Jordan Thomas,Madurai,North,Furniture,Cupboard,8989.01,19.63,1824.69,10,Net Banking,2024-05-03
177,Keith Curry,Coimbatore,North,Clothing,Kurti,3914.12,26.94,583.17,7,Card,2025-08-24
178,James Williams,Coimbatore,South,Sports,Football,7103.02,14.21,742.43,9,UPI,2024-07-12
179,Leslie Hopkins,Madurai,West,Clothing,Jeans,35658.52,9.74,1857.61,6,Card,2024-03-14
180,Samantha Soto,Chennai,West,Sports,Shoes,16221.07,18.04,2266.99,7,Cash,2025-11-07
181,Brandon Jones,Madurai,West,Sports,Gym Bag,34221.57,13.79,7048.39,6,UPI,2024-03-13
182,Anthony Maxwell,Coimbatore,South,Electronics,Laptop,12178.86,19.45,2718.39,6,UPI,2025-04-25
183,Robert Buchanan,Chennai,East,Electronics,Headphones,9678.32,16.8,532.22,7,Card,2025-06-08
184,Michael Martin,Tirunelveli,North,Sports,Football,36090.98,22.53,4002.24,9,Card,2025-07-15
185,Michael Fuentes,Chennai,North,Clothing,Kurti,4675.02,20.57,956.83,3,Cash,2025-10-01
186,Michael Gomez,Coimbatore,North,Clothing,T-Shirt,2864.32,29.56,529.85,4,Cash,2024-02-14
187,Mr. Justin Peterson,Tirunelveli,South,Electronics,Headphones,21540.46,2.35,3839.33,1,UPI,2024-12-07
188,Abigail Benjamin,Trichy,North,Furniture,Chair,2585.82,25.4,264.15,9,Cash,2024-05-22
189,William Green,Tirunelveli,West,Clothing,T-Shirt,30802.65,27.12,7021,1,Net Banking,2024-09-29
190,Jason Hoover,Salem,North,Clothing,Jacket,38433.37,15.84,2595.62,7,Cash,2025-04-03
191,Peter Johnson,Salem,South,Furniture,Cupboard,40259.7,22.93,9678.52,1,Net Banking,2024-08-15
192,Seth Baker,Coimbatore,East,Furniture,Cupboard,9737.24,9.24,1951.25,4,Card,2024-08-29
193,Alexis York,Trichy,South,Electronics,Headphones,34575.98,0.93,4686.48,9,Net Banking,2024-06-21
194,William Kirby,Chennai,East,Sports,Football,24930.53,19.33,2499.73,3,Net Banking,2024-02-13
195,Marcus Duffy,Chennai,West,Sports,Gym Bag,13681.23,6.68,1678.15,8,Cash,2025-09-17
196,Erin Delgado,Tirunelveli,West,Electronics,Smart Watch,37073.99,17.77,9174.64,8,Card,2025-02-15
197,Joseph Baker,Chennai,South,Furniture,Chair,14717.6,19.37,1558.46,8,Cash,2024-05-27
198,Deborah Tran,Salem,South,Groceries,Rice,661.25,2.13,115.09,2,UPI,2024-04-18
199,Megan Martinez,Salem,North,Clothing,Jeans,41013.11,17,8995.5,4,UPI,2024-01-31
200,Laura Allen,Tirunelveli,South,Clothing,Kurti,44213.62,27.8,6602.46,6,Cash,2025-01-24
201,Carl Smith,Coimbatore,West,Electronics,Headphones,16882.38,6.99,2109.78,8,Card,2025-02-25
202,Ryan Pierce,Madurai,East,Electronics,Mobile,37212.05,29.53,7178.27,1,UPI,2024-06-04
203,Rebecca Mayer,Salem,West,Furniture,Chair,11963,0.77,2272.57,8,Net Banking,2024-03-21
204,Deborah Hernandez,Trichy,West,Electronics,Mobile,6887.05,20.14,1379.64,8,Cash,2025-11-20
205,Debra Anderson,Trichy,East,Electronics,Smart Watch,17084.05,5.72,1162.81,9,Net Banking,2025-11-02
206,Crystal King,Chennai,North,Groceries,Rice,12101.41,22.54,1701.51,2,UPI,2025-09-10
207,David Davis,Salem,West,Furniture,Chair,20212.75,25.04,1977.89,5,UPI,2024-02-16
208,Melanie Deleon,Coimbatore,North,Electronics,Headphones,19483.41,9.69,3224.95,10,Cash,2024-11-22
209,Shannon Berry,Coimbatore,West,Sports,Shoes,30723.95,6.09,5617.69,7,Cash,2024-09-30
210,Nicole Wright,Coimbatore,North,Electronics,Laptop,5779.56,21.7,466.56,3,Card,2024-01-24
211,Ryan Patterson,Chennai,East,Furniture,Chair,19679.8,4.5,2095.14,9,Card,2024-07-17
212,Johnny Gonzalez,Madurai,North,Clothing,Jacket,34474.19,17.97,7396.24,10,UPI,2024-06-13
213,Kelly Nixon,Trichy,West,Sports,Cricket Bat,7763.53,5.95,1366.18,8,Card,2024-09-04
214,Eddie Anderson,Madurai,West,Sports,Gym Bag,15672.76,9.61,3272.48,5,Card,2024-02-03
215,Samantha Wilson,Madurai,West,Sports,Shoes,48766.86,11.25,4111.68,6,Net Banking,2024-01-10
216,Dr. Tabitha Rodriguez,Madurai,East,Groceries,Snacks,21347.68,26.15,1879.45,3,Card,2025-01-13
217,Martin Craig,Trichy,North,Electronics,Laptop,4654.88,5.28,695.72,6,Card,2024-07-13
218,Sarah Atkins PhD,Tirunelveli,West,Groceries,Oil,22182.12,17.55,1610.32,9,Card,2024-09-18
219,Derrick Gibson,Trichy,North,Sports,Gym Bag,45355.13,1.23,8316.85,8,Net Banking,2025-09-12
220,Melinda Ward,Tirunelveli,West,Sports,Shoes,31876.32,4.78,5108.73,5,Cash,2025-06-10
221,John Ray,Coimbatore,West,Groceries,Oil,9177.46,28.32,2258.72,1,UPI,2024-06-06
222,Thomas Smith,Trichy,West,Electronics,Laptop,3520.52,24.69,333.02,1,Net Banking,2024-03-15
223,Allison Vasquez,Salem,North,Electronics,Mobile,3117.24,20.19,161.47,5,Cash,2025-08-31
224,Diana Lara,Coimbatore,West,Groceries,Oil,20796.79,21.47,1536.58,2,Cash,2025-05-18
225,David Butler,Chennai,North,Clothing,Jacket,8189.29,1.48,827.01,9,Card,2024-07-17
226,Jennifer Price,Chennai,West,Clothing,Kurti,45850.08,19.72,11435.84,6,UPI,2024-04-22
227,Christopher Garcia,Trichy,South,Sports,Gym Bag,5284.83,10.88,1102.15,1,Net Banking,2024-04-23
228,Kevin Smith,Coimbatore,East,Furniture,Cupboard,46614.23,1.45,9572.85,10,Net Banking,2025-08-16
229,Jill Hale,Chennai,North,Sports,Shoes,31492.38,4.74,5994.75,10,Cash,2024-11-30
230,Alexis Blackburn,Tirunelveli,East,Electronics,Smart Watch,8294.67,26.46,626.58,1,UPI,2024-02-05
231,Andrew Smith,Madurai,West,Furniture,Table,38388.42,22.7,3866.76,10,Cash,2025-07-05
232,Kyle Smith,Chennai,South,Clothing,Kurti,14792.3,13.83,2166.43,10,Cash,2024-07-26
233,Kimberly Morales,Chennai,South,Sports,Cricket Bat,42397.88,29.39,8451.44,5,UPI,2024-11-25
234,Jonathan Jones,Salem,East,Furniture,Chair,3189.29,22.57,585.93,2,Cash,2024-06-16
235,Jacob Garrett,Salem,West,Sports,Cricket Bat,33873.2,27.73,3872.5,9,UPI,2024-07-05
236,Sandra Gray,Coimbatore,North,Clothing,T-Shirt,2440.47,1.88,358.97,4,Card,2024-05-23
237,Marcus Burns,Tirunelveli,West,Groceries,Oil,35943.11,6.43,6775.44,1,Card,2024-06-19
238,Matthew Bridges,Tirunelveli,North,Clothing,T-Shirt,211.19,23.55,40.94,8,Net Banking,2025-01-16
239,Daniel Knapp,Tirunelveli,East,Furniture,Table,29777.22,19.14,3558.08,7,Card,2025-05-24
240,Dominique Martinez,Madurai,West,Groceries,Rice,4341.59,28.51,232.51,1,UPI,2024-06-19
241,Susan Robles,Coimbatore,West,Furniture,Chair,44571.94,1.31,9984.27,4,Net Banking,2025-07-18
242,Eric Ramirez,Madurai,North,Clothing,Jacket,22879.01,11.08,5712.64,2,UPI,2025-10-21
243,Jeremy Walters,Tirunelveli,West,Groceries,Snacks,21053.84,0.68,3300.35,6,Card,2025-08-07
244,Taylor Goodwin,Tirunelveli,South,Groceries,Rice,28429.45,16.69,4571.12,9,UPI,2025-08-10
245,Allison Hall,Salem,West,Groceries,Rice,44119.42,8.89,6931.69,1,UPI,2024-07-05
246,Jose Carter,Tirunelveli,North,Furniture,Table,26492.55,9.99,3808.2,10,UPI,2024-08-15
247,Ann Jones,Madurai,West,Sports,Football,24788.33,24.08,4355.79,9,UPI,2025-06-09
248,Leah Johnson,Chennai,East,Electronics,Laptop,24190.79,15.47,3422.55,6,Cash,2025-12-21
249,Amber Jackson,Trichy,West,Groceries,Milk,37037.58,20.88,5739.78,8,Cash,2024-06-26
250,Victoria Williams,Trichy,East,Sports,Shoes,2883.93,28.31,356.78,8,Card,2024-06-21
251,Amber Mitchell,Chennai,South,Sports,Football,13207.19,18.73,2685.8,4,Cash,2025-07-11
252,Mark Beck,Chennai,West,Furniture,Table,39063.39,3,3781.2,5,Card,2024-01-30
253,Nichole Lopez,Tirunelveli,West,Groceries,Milk,41113.42,3.54,8274.02,8,Net Banking,2024-05-05
